"ID","Title","Rate","Rate Count","Writer","Publisher","Publish","Date","Price"
"0","黑客与画家","8.8","12969","[美] Paul Graham "," 人民邮电出版社 "," 2011-4 "," 49.00元"
"1","Effective C++中文版","9.2","1271","[美] Scott Meyers "," 华中科技大学出版社 "," 2001-9 "," 49.80元"
"2","深度探索C++对象模型","9.1","1335","[美] Stanley B. Lippman "," 华中科技大学出版社 "," 2001-5 "," 54.00元"
"3","设计模式","9.1","2474","[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides "," 机械工业出版社 "," 2000-9 "," 35.00元"
"4","Effective java 中文版（第2版）","9.1","1089","Joshua Bloch "," 机械工业出版社 "," 2009-1-1 "," 52.00元"
"5","JavaScript高级程序设计（第3版）","9.3","1218","[美] Nicholas C. Zakas "," 人民邮电出版社 "," 2012-3-29 "," 99.00元"
"6","C和指针","9.0","1069","Kenneth A.Reek "," 人民邮电出版社 "," 2008 年4月 "," 65.00元"
"7","集体智慧编程","9.0","1166","TOBY SEGARAN "," 电子工业出版社 "," 2009-1 "," 59.80元"
"8","JavaScript语言精粹","9.1","1403","Douglas Crockford "," 电子工业出版社 "," 2009年 "," 35.00"
"9","程序员的思维修炼","8.3","1536","Andy Hunt "," 人民邮电出版社 "," 2010-12-10 "," 39.00元"
"10","STL源码剖析","8.7","1100","侯捷 "," 华中科技大学出版社 "," 2002-6 "," 68.00元"
"11","C陷阱与缺陷","8.9","1130","凯尼格 "," 人民邮电出版社 "," 2008-2-1 "," 30.00元"
"12","计算机程序的构造和解释","9.5","1664","Harold Abelson、Gerald Jay Sussman、Julie Sussman "," 机械工业出版社 "," 2004-2 "," 45.00元"
"13","代码大全（第2版）","9.3","3204","[美] 史蒂夫·迈克康奈尔 "," 电子工业出版社 "," 2006-3 "," 128.00元"
"14","算法导论（原书第2版）","9.4","4552","[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein "," 机械工业出版社 "," 2006-9 "," 85.00元"
"15","C程序设计语言","9.4","3637","（美）Brian W. Kernighan、（美）Dennis M. Ritchie "," 机械工业出版社 "," 2004-1 "," 30.00元"
"16","C++ Primer 中文版（第 4 版）","9.2","4054","Stanley B.Lippman、Josée LaJoie、Barbara E.Moo "," 人民邮电出版社 "," 2006 "," 99.00元"
"17","UNIX环境高级编程","9.4","2039","W.Richard Stevens、Stephen A.Rago "," 人民邮电出版社 "," 2006年 "," 99.00元"
"18","编程珠玑","9.2","1738","Jon Bentley "," 人民邮电出版社 "," 2008-10 "," 39.00元"
"19","编码","9.2","1491","[美] Charles Petzold "," 电子工业出版社 "," 2010 "," 55.00元"
"20","Java编程思想 （第4版）","9.1","2597","[美] Bruce Eckel "," 机械工业出版社 "," 2007-6 "," 108.00元"
"21","UNIX编程艺术","9.0","1952","Eric S. Raymond "," 电子工业出版社 "," 2006-2 "," 59.00元"
"22","深入理解计算机系统","9.5","2439","Randal E.Bryant、David O'Hallaron "," 中国电力出版社 "," 2004-5-1 "," 85.00元"
"23","重构","9.0","1923","Martin Fowler "," 中国电力出版社 "," 2003-8-1 "," 68.00元"
"24","程序员修炼之道","8.6","2010","Andrew Hunt、David Thomas "," 电子工业出版社 "," 2005-1 "," 48.00元"
"25","程序员的自我修养","8.8","1741","俞甲子、石凡、潘爱民 "," 电子工业出版社 "," 2009-4 "," 65.00"
"26","C专家编程","9.2","1711","Peter Van Der Linden "," 人民邮电出版社 "," 2008-2 "," 45.00元"
"27","编程之美","8.4","2846","《编程之美》小组 编 "," 电子工业出版社 "," 2008-3 "," 40.00元"
"28","C Primer Plus","9.2","1433","Stephen Prata、云巅工作室 "," 人民邮电出版社 "," 2005-2-1 "," 60.00元"
"29","Head First 设计模式（中文版）","9.2","2220","弗里曼 "," 中国电力出版社 "," 2007-9 "," 98.00元"
"30","软件随想录","8.7","2112","Joel Spolsky "," 人民邮电出版社 "," 2009 "," 49.00元"
"31","大话设计模式","8.3","1544","程杰 "," 清华大学出版社 "," 2007-12-1 "," 45.00元"
"32","黑客与画家","8.8","12969","[美] Paul Graham "," 人民邮电出版社 "," 2011-4 "," 49.00元"
"33","Effective C++中文版","9.2","1271","[美] Scott Meyers "," 华中科技大学出版社 "," 2001-9 "," 49.80元"
"34","深度探索C++对象模型","9.1","1335","[美] Stanley B. Lippman "," 华中科技大学出版社 "," 2001-5 "," 54.00元"
"35","设计模式","9.1","2474","[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides "," 机械工业出版社 "," 2000-9 "," 35.00元"
"36","Effective java 中文版（第2版）","9.1","1089","Joshua Bloch "," 机械工业出版社 "," 2009-1-1 "," 52.00元"
"37","JavaScript高级程序设计（第3版）","9.3","1218","[美] Nicholas C. Zakas "," 人民邮电出版社 "," 2012-3-29 "," 99.00元"
"38","C和指针","9.0","1069","Kenneth A.Reek "," 人民邮电出版社 "," 2008 年4月 "," 65.00元"
"39","集体智慧编程","9.0","1166","TOBY SEGARAN "," 电子工业出版社 "," 2009-1 "," 59.80元"
"40","JavaScript语言精粹","9.1","1403","Douglas Crockford "," 电子工业出版社 "," 2009年 "," 35.00"
